"","pop_city","sec_city","gdp_city","pgdp_city","firm_city","gonglu","emit_ww","emit_so1","emi_dust1","city_code"
"1",1363,1464554,256691300,118198,3340,48039,8515,42802,1317328,54613
"2",1044,1363470,178853900,115053,5203,13741,18022,434147,4827143,6124
"3",1038,334957,59277293,55177,2704,4582,13022,515066,7402482,71005
"4",760,405437,63548675,81239,1432,2510,13269,627967,18491938,20585
"5",298,110620,13493526,73755,356,1422,3902,117259,2377416,41928
"6",1055,355244,33370903,35265,1350,5346,4806,695381,7150488,93580
"7",788,180875,19757460,27038,1334,2709,9289,180896,2513749,50965
"8",1207,525884,34771269,29992,1841,10749,7419,181029,2128475,98240
"9",470,98012,14659911,33142,482,1731,3486,179345,2938038,94313
"10",383,91433,14385741,40741,488,1074,1384,134625,1484646,6145
"11",780,177546,35446800,47425,2395,4916,4512,166510,1069577,39753
"12",470,204118,27063015,58972,1190,3064,4485,72465,673692,77331
"13",455,96342,14201825,31955,1185,1387,2216,78583,822017,97330
"14",370,478188,29556045,68234,355,876,3879,452236,6552772,50167
"15",318,205789,10257962,30046,168,1381,1924,301643,17581458,66511
"16",133,158555,6228625,44461,125,1104,531,197721,1174919,22294
"17",339,220040,12704767,37063,316,3295,4653,391119,5196031,85903
"18",220,219576,10493400,45271,241,1416,6014,275684,3079759,14529
"19",163,80628,9180640,52010,232,1210,1342,289949,5357175,79806
"20",332,142635,10911041,32646,517,2065,1775,358638,2186213,97735
"21",531,114142,12223486,23106,454,2921,2602,667811,3682559,45700
"22",308,64812,7161357,22747,339,1453,NA,75836,104570,8615
"23",434,124270,12051761,27102,354,1463,NA,NA,NA,97122
"24",391,159356,9953079,25896,448,1391,3135,331618,3737248,78793
"25",241,114331,31735900,103235,265,466,2339,318863,6674742,47115
"26",224,205583,38676300,136021,677,657,3345,722447,4996619,75710
"27",44,54721,5722261,102725,149,111,1201,316730,3852099,11242
"28",463,110064,19332792,44936,525,2791,1866,1381902,4024611,16523
"29",319,81854,19493818,62424,590,1628,2251,293703,4632886,58261
"30",159,146666,44179341,215488,379,647,3641,918372,8351605,7765
"31",259,109065,16208500,64140,389,1468,4245,55088,160272,54002
"32",175,30165,9153800,54480,283,1368,2099,599314,2250879,31041
"33",274,28097,9388700,44517,312,343,549,295301,5089417,51715
"34",734,547777,55464498,66893,2371,15244,5547,191648,2764003,40732
"35",596,495948,68101998,97470,1745,7647,27709,197840,4374447,90724
"36",346,240085,14619713,40532,740,5769,3098,140581,2010530,37206
"37",215,127084,8650721,41741,215,2109,2167,109324,2511227,15842
"38",150,121755,7667098,44745,164,2159,2053,62696,2440304,3547
"39",238,90590,7512352,31223,336,3908,1650,59946,677689,32077
"40",302,104400,10328139,33692,377,4463,2100,65581,673084,75399
"41",189,51720,4078179,22956,237,1155,701,128747,1554512,41887
"42",179,73517,6541758,35476,223,3043,4542,72643,2385933,59283
"43",130,161252,10071351,70110,345,2439,2821,71327,562490,44687
"44",300,86851,5880423,22178,240,3552,957,150479,3271625,9715
"45",341,71458,7165334,24285,240,2171,486,81568,1365963,8131
"46",280,89925,6473518,25347,211,2637,NA,NA,NA,70480
"47",753,589189,59864200,79434,1581,7113,2548,116716,1785257,100304
"48",422,171330,24535091,57818,1062,3838,8837,135334,4059825,16114
"49",324,50203,11938035,36732,598,3327,1485,49451,1079108,17115
"50",120,69530,7652485,63480,314,2248,511,21236,947739,87544
"51",220,149616,9475914,42979,618,2508,1288,42539,1247279,30179
"52",122,61475,6966243,56411,367,1754,1210,41370,1141080,66284
"53",278,121337,16516898,59413,620,2839,521,21729,244412,34714
"54",193,43679,7001392,35892,335,1489,265,26852,575732,100608
"55",962,414270,61016096,63445,1337,7448,4235,92030,3480685,2414
"56",544,101047,13253110,25690,382,4365,3269,NA,1012969,12834
"57",181,91042,5183793,28647,151,3704,445,38434,1590497,63715
